Employee ID,Project ID,Progress
9841079,1,0.98
9803378,1,0.93
9703133,1,0.60
9696153,1,0.62
9652983,1,0.28
9571937,1,0.51
9336418,1,0.61
9224907,1,0.89
9218101,1,0.77
9195284,1,0.33
9157177,1,0.47
9130345,1,0.80
8926840,1,0.03
8925093,1,0.81
8882293,1,0.96
8854326,1,0.16
8816112,1,0.36
8798994,1,0.84
8617822,1,0.15
8614182,1,0.13
8517686,1,0.94
8248961,1,0.80
8136783,1,0.33
8127776,1,0.05
8074999,1,0.54
8060746,1,0.87
7897369,1,0.98
7624323,1,0.54
7601492,1,0.78
7423649,1,0.55
7161608,1,0.85
7160084,1,0.86
7036546,1,0.52
6970183,1,0.33
6949245,1,0.22
6941138,1,0.16
6930315,1,0.24
6923648,1,0.43
6708330,1,0.33
6591763,1,0.47
6397295,1,0.81
6381619,1,0.41
6346165,1,0.85
6055996,1,0.63
5874223,1,0.08
5825955,1,0.37
5694356,1,0.18
5642935,1,0.54
5607456,1,0.91
5568176,1,0.18
5382035,1,0.49
5354290,1,0.47
5303743,1,0.53
5292219,1,0.93
4999871,1,0.60
4841246,1,0.60
4659539,1,0.35
4634212,1,0.75
4547457,1,0.11
4520479,1,0.35
4388845,1,0.60
4298401,1,0.05
4291932,1,0.91
4119128,1,0.69
4044753,1,0.33
3932116,1,0.49
3885642,1,1.00
3846826,1,0.42
3751321,1,0.43
3717743,1,0.25
3648091,1,0.63
3612606,1,0.46
3570525,1,0.42
3491074,1,0.09
3460236,1,0.76
3448083,1,0.98
3346114,1,0.10
3344297,1,0.11
3309055,1,0.87
3281684,1,0.34
3135874,1,0.33
2692512,1,0.53
2566964,1,0.52
2529963,1,0.44
2428265,1,0.41
2367144,1,0.42
2334511,1,0.30
2325975,1,0.69
2272879,1,0.56
2225436,1,0.83
2155245,1,0.36
2029735,1,0.51
1998306,1,0.59
1984801,1,0.20
1924769,1,0.70
1761724,1,0.05
1761576,1,0.15
1725254,1,0.03
1718334,1,1.00
1628671,1,0.22
9957619,2,0.77
9909961,2,0.31
9774465,2,0.01
9709432,2,0.18
9667446,2,0.04
9616578,2,0.06
9514105,2,0.79
9408198,2,0.63
9407050,2,1.00
9398948,2,0.77
9346629,2,0.13
9255910,2,0.41
9163402,2,0.18
9090868,2,0.58
9079699,2,0.30
9062179,2,0.51
8808901,2,0.61
8747278,2,0.37
8718562,2,0.06
8641126,2,0.02
8235601,2,0.08
8155151,2,0.19
8105044,2,0.66
7969078,2,0.69
7856895,2,0.22
7844817,2,0.43
7717106,2,0.81
7563199,2,0.22
7530062,2,0.01
7443055,2,0.34
7436627,2,0.89
7398713,2,0.57
7314792,2,0.25
7285532,2,0.53
7217858,2,0.69
7174881,2,0.32
7146845,2,0.31
7030187,2,0.92
6845848,2,0.09
6834568,2,0.63
6760807,2,0.55
6711937,2,0.27
6585956,2,0.11
6549836,2,0.29
6519767,2,0.04
6509957,2,0.73
6366147,2,0.76
6355045,2,0.89
6203402,2,0.30
6145818,2,0.31
6108980,2,0.51
6077237,2,0.48
6025155,2,0.37
5951415,2,0.14
5652608,2,0.94
5640864,2,0.40
5476682,2,0.49
5402266,2,0.36
5398538,2,0.10
5376277,2,0.58
5365995,2,0.28
5174757,2,0.41
4716542,2,0.92
4674920,2,0.82
4624813,2,0.36
4466091,2,0.29
4454499,2,0.26
4302819,2,0.30
4178872,2,0.38
4124598,2,0.90
4121504,2,0.10
4023411,2,0.07
3983090,2,0.99
3763980,2,0.01
3696575,2,0.89
3649486,2,0.04
3521334,2,0.43
3511711,2,0.19
3424867,2,0.76
3338492,2,0.28
3296652,2,0.61
3124140,2,0.79
2775501,2,0.37
2548361,2,0.33
2536177,2,0.46
2520095,2,0.59
2512819,2,0.66
2462509,2,0.68
2351651,2,0.44
2321464,2,0.96
2138529,2,0.15
1984602,2,0.53
1896473,2,0.46
1782866,2,0.42
1718860,2,0.42
1584241,2,0.05
1500276,2,0.56
1472126,2,0.30
1416586,2,0.35
1328009,2,0.46
9841079,3,0.98
9803378,3,0.80
9703133,3,0.48
9696153,3,0.66
9652983,3,0.06
9571937,3,0.49
9336418,3,0.16
9224907,3,0.39
9218101,3,0.64
9195284,3,0.29
9157177,3,0.98
9130345,3,0.51
8926840,3,0.79
8925093,3,0.99
8882293,3,0.60
8854326,3,0.39
8816112,3,0.14
8798994,3,0.61
8617822,3,0.03
8614182,3,0.58
8517686,3,0.73
8248961,3,0.82
8136783,3,0.09
8127776,3,0.47
8074999,3,0.20
8060746,3,0.14
7897369,3,0.63
7624323,3,0.61
7601492,3,0.91
7423649,3,0.97
7161608,3,0.36
7160084,3,0.30
7036546,3,0.20
6970183,3,0.37
6949245,3,0.55
6941138,3,0.21
6930315,3,0.18
6923648,3,0.58
6708330,3,0.60
6591763,3,0.23
6397295,3,0.28
6381619,3,0.12
6346165,3,0.88
6055996,3,0.05
5874223,3,0.14
5825955,3,0.44
5694356,3,0.92
5642935,3,0.59
5607456,3,0.44
5568176,3,0.84
5382035,3,0.49
5354290,3,0.52
5303743,3,0.47
5292219,3,0.40
4999871,3,0.17
4841246,3,0.78
4659539,3,0.96
4634212,3,0.40
4547457,3,0.65
4520479,3,0.31
4388845,3,0.25
4298401,3,0.23
4291932,3,0.31
4119128,3,0.81
4044753,3,0.57
3932116,3,0.83
3885642,3,0.75
3846826,3,0.19
3751321,3,0.28
3717743,3,0.44
3648091,3,0.39
3612606,3,0.93
3570525,3,0.84
3491074,3,0.37
3460236,3,0.90
3448083,3,0.41
3346114,3,0.09
3344297,3,0.09
3309055,3,0.92
3281684,3,0.96
3135874,3,0.89
2692512,3,0.22
2566964,3,0.80
2529963,3,0.81
2428265,3,0.37
2367144,3,0.98
2334511,3,0.84
2325975,3,0.72
2272879,3,1.00
2225436,3,0.44
2155245,3,0.16
2029735,3,0.47
1998306,3,0.45
1984801,3,0.62
1924769,3,0.80
1761724,3,0.40
1761576,3,0.26
1725254,3,0.93
1718334,3,0.50
1628671,3,0.46
9957619,4,0.79
9909961,4,0.79
9774465,4,0.14
9709432,4,0.84
9667446,4,1.00
9616578,4,0.14
9514105,4,0.44
9408198,4,0.70
9407050,4,0.02
9398948,4,0.43
9346629,4,0.94
9255910,4,0.74
9163402,4,0.21
9090868,4,0.97
9079699,4,0.28
9062179,4,0.82
8808901,4,0.55
8747278,4,0.25
8718562,4,0.64
8641126,4,0.59
8235601,4,0.55
8155151,4,0.90
8105044,4,0.28
7969078,4,0.35
7856895,4,0.36
7844817,4,0.56
7717106,4,0.69
7563199,4,0.83
7530062,4,0.32
7443055,4,0.21
7436627,4,0.40
7398713,4,0.83
7314792,4,0.42
7285532,4,0.99
7217858,4,0.82
7174881,4,0.90
7146845,4,0.11
7030187,4,0.16
6845848,4,0.36
6834568,4,0.41
6760807,4,0.46
6711937,4,0.81
6585956,4,0.47
6549836,4,0.20
6519767,4,0.43
6509957,4,0.14
6366147,4,0.37
6355045,4,0.58
6203402,4,0.79
6145818,4,0.54
6108980,4,0.25
6077237,4,0.23
6025155,4,0.70
5951415,4,0.51
5652608,4,0.44
5640864,4,0.47
5476682,4,0.95
5402266,4,0.41
5398538,4,0.09
5376277,4,0.32
5365995,4,0.55
5174757,4,0.64
4716542,4,0.38
4674920,4,0.12
4624813,4,0.31
4466091,4,0.90
4454499,4,0.73
4302819,4,1.00
4178872,4,0.32
4124598,4,0.98
4121504,4,0.15
4023411,4,0.71
3983090,4,0.19
3763980,4,0.58
3696575,4,0.85
3649486,4,0.36
3521334,4,0.22
3511711,4,0.51
3424867,4,0.12
3338492,4,0.71
3296652,4,0.73
3124140,4,0.32
2775501,4,0.85
2548361,4,0.91
2536177,4,0.75
2520095,4,0.17
2512819,4,0.11
2462509,4,0.22
2351651,4,0.88
2321464,4,0.62
2138529,4,0.48
1984602,4,0.27
1896473,4,0.51
1782866,4,0.95
1718860,4,0.42
1584241,4,0.73
1500276,4,0.83
1472126,4,0.17
1416586,4,0.37
1328009,4,0.55
9841079,5,0.67
9803378,5,0.31
9703133,5,0.11
9696153,5,0.05
9652983,5,0.20
9571937,5,0.64
9336418,5,0.27
9224907,5,0.05
9218101,5,0.08
9195284,5,0.04
9157177,5,0.59
9130345,5,0.34
8926840,5,0.11
8925093,5,0.21
8882293,5,0.42
8854326,5,0.73
8816112,5,0.66
8798994,5,0.99
8617822,5,0.86
8614182,5,0.47
8517686,5,1.00
8248961,5,1.00
8136783,5,0.70
8127776,5,0.27
8074999,5,0.33
8060746,5,0.44
7897369,5,0.30
7624323,5,0.29
7601492,5,0.41
7423649,5,0.84
7161608,5,0.92
7160084,5,0.55
7036546,5,0.76
6970183,5,0.05
6949245,5,0.03
6941138,5,0.41
6930315,5,0.80
6923648,5,0.76
6708330,5,0.80
6591763,5,0.60
6397295,5,0.70
6381619,5,0.90
6346165,5,0.01
6055996,5,0.60
5874223,5,0.97
5825955,5,0.73
5694356,5,0.49
5642935,5,0.91
5607456,5,0.11
5568176,5,0.78
5382035,5,0.89
5354290,5,0.83
5303743,5,0.44
5292219,5,0.83
4999871,5,0.55
4841246,5,0.17
4659539,5,0.04
4634212,5,0.07
4547457,5,0.03
4520479,5,0.12
4388845,5,0.11
4298401,5,0.52
4291932,5,0.67
4119128,5,0.71
4044753,5,0.82
3932116,5,0.47
3885642,5,0.95
3846826,5,0.95
3751321,5,0.79
3717743,5,0.60
3648091,5,0.81
3612606,5,0.03
3570525,5,0.46
3491074,5,0.51
3460236,5,0.68
3448083,5,0.32
3346114,5,0.42
3344297,5,0.30
3309055,5,0.98
3281684,5,0.18
3135874,5,0.52
2692512,5,0.40
2566964,5,0.31
2529963,5,0.64
2428265,5,0.48
2367144,5,0.58
2334511,5,0.10
2325975,5,0.81
2272879,5,0.42
2225436,5,0.36
2155245,5,0.53
2029735,5,0.53
1998306,5,0.48
1984801,5,0.10
1924769,5,0.18
1761724,5,0.96
1761576,5,0.60
1725254,5,1.00
1718334,5,0.47
1628671,5,0.73
9957619,6,0.61
9909961,6,0.48
9774465,6,0.88
9709432,6,0.29
9667446,6,0.08
9616578,6,0.14
9514105,6,0.43
9408198,6,0.18
9407050,6,0.35
9398948,6,0.98
9346629,6,0.73
9255910,6,0.66
9163402,6,0.43
9090868,6,0.06
9079699,6,0.05
9062179,6,0.43
8808901,6,0.70
8747278,6,0.19
8718562,6,0.15
8641126,6,0.36
8235601,6,0.39
8155151,6,0.13
8105044,6,0.74
7969078,6,0.31
7856895,6,0.61
7844817,6,0.03
7717106,6,0.20
7563199,6,0.36
7530062,6,0.96
7443055,6,0.03
7436627,6,0.08
7398713,6,0.11
7314792,6,0.01
7285532,6,0.32
7217858,6,0.27
7174881,6,0.97
7146845,6,0.84
7030187,6,0.63
6845848,6,0.38
6834568,6,0.83
6760807,6,0.91
6711937,6,0.42
6585956,6,0.32
6549836,6,0.43
6519767,6,0.89
6509957,6,0.24
6366147,6,0.12
6355045,6,0.83
6203402,6,0.77
6145818,6,0.55
6108980,6,0.66
6077237,6,0.76
6025155,6,0.94
5951415,6,0.07
5652608,6,0.81
5640864,6,0.18
5476682,6,0.69
5402266,6,0.62
5398538,6,0.80
5376277,6,0.98
5365995,6,0.25
5174757,6,0.30
4716542,6,0.42
4674920,6,0.69
4624813,6,0.25
4466091,6,0.26
4454499,6,0.50
4302819,6,0.57
4178872,6,0.50
4124598,6,0.98
4121504,6,0.21
4023411,6,0.88
3983090,6,0.13
3763980,6,0.37
3696575,6,0.88
3649486,6,0.61
3521334,6,0.87
3511711,6,0.16
3424867,6,0.54
3338492,6,0.99
3296652,6,0.49
3124140,6,0.14
2775501,6,0.16
2548361,6,0.65
2536177,6,0.44
2520095,6,0.51
2512819,6,0.19
2462509,6,0.20
2351651,6,0.90
2321464,6,0.15
2138529,6,0.58
1984602,6,0.41
1896473,6,0.94
1782866,6,0.30
1718860,6,0.41
1584241,6,0.15
1500276,6,0.29
1472126,6,0.44
1416586,6,0.83
1328009,6,0.68
